Your heart is the size of an ocean. Go find yourself in its hidden depths.	Seu coração é do tamanho de um oceano. Vá e encontre-se em suas profundezas ocultas.	Rumi
The Bay of Bengal is hit frequently by cyclones. The months of November and May, in particular, are dangerous in this regard.	A Baía de Bengala é frequentemente atingida por ciclones. Os meses de Novembro e Maio, em particular, são perigosos neste aspecto.	Abdul Kalam
Thinking is the capital, Enterprise is the way, Hard Work is the solution.	Pensar é o capital, a empresa é o caminho, o trabalho árduo é a solução.	Abdul Kalam
If You Can'T Make It Good, At Least Make It Look Good.	Se você não consegue fazer isso bem, pelo menos faça com que pareça bom.	Bill Gates
Heart be brave. If you cannot be brave, just go. Love's glory is not a small thing.	Coração, seja corajoso. Se você não consegue ser corajoso, vá. A glória do amor não é uma coisa pequena.	Rumi
It is bad for a young man to sin; but it is worse for an old man to sin.	É ruim para um jovem pecar; mas é pior para um velho pecar.	Abu Bakr (R.A)
If You Are Out To Describe The Truth, Leave Elegance To The Tailor.	Se você deseja descrever a verdade, deixe a elegância para o alfaiate.	Albert Einstein
O man you are busy working for the world, and the world is busy trying to turn you out.	Ó homem, você está ocupado trabalhando para o mundo, e o mundo está ocupado tentando expulsá-lo.	Abu Bakr (R.A)
While children are struggling to be unique, the world around them is trying all means to make them look like everybody else.	Enquanto as crianças lutam para serem únicas, o mundo ao seu redor tenta de todas as maneiras torná-las parecidas com todas as outras pessoas.	Abdul Kalam
These Capitalists Generally Act Harmoniously And In Concert, To Fleece The People.	Esses capitalistas geralmente agem de forma harmoniosa e em conjunto, para atacar o povo.	Abraham Lincoln
I Don'T Believe In Failure. It Is Not Failure If You Enjoyed The Process.	Eu não acredito em fracasso. Não é um fracasso se você gostou do processo.	Oprah Winfrey
Do not get elated at any victory, for all such victory is subject to the will of God.	Não fique exultante com nenhuma vitória, pois toda vitória está sujeita à vontade de Deus.	Abu Bakr (R.A)
Wear gratitude like a cloak and it will feed every corner of your life.	Use a gratidão como uma capa e ela alimentará todos os cantos da sua vida.	Rumi
If you even dream of beating me you'd better wake up and apologize.	Se você sonha em me bater é melhor acordar e pedir desculpas.	Muhammad Ali
I Will Praise Any Man That Will Praise Me.	Eu elogiarei qualquer homem que me elogie.	William Shakespeare
One Of The Greatest Diseases Is To Be Nobody To Anybody.	Uma das maiores doenças é não ser ninguém para ninguém.	Mother Teresa
I'm so fast that last night I turned off the light switch in my hotel room and was in bed before the room was dark.	Sou tão rápido que ontem à noite desliguei a luz do meu quarto de hotel e fui para a cama antes que o quarto escurecesse.	Muhammad Ali
People Must Learn To Hate And If They Can Learn To Hate, They Can Be Taught To Love.	As pessoas devem aprender a odiar e, se aprenderem a odiar, poderão ser ensinadas a amar.	Nelson Mandela
Everyone has been made for some particular work, and the desire for that work has been put in every heart.	Todos foram feitos para algum trabalho específico, e o desejo por esse trabalho foi colocado em cada coração.	Rumi
The less of the World, the freer you live.	Quanto menos do mundo, mais livre você vive.	Umar ibn Al-Khattāb (R.A)
Respond to every call that excites your spirit.	Responda a cada chamado que excite seu espírito.	Rumi
The Way To Get Started Is To Quit Talking And Begin Doing.	A maneira de começar é parar de falar e começar a fazer.	Walt Disney
God Doesn'T Require Us To Succeed, He Only Requires That You Try.	Deus não exige que tenhamos sucesso, ele apenas exige que você tente.	Mother Teresa
Speak any language, Turkish, Greek, Persian, Arabic, but always speak with love.	Fale qualquer idioma, turco, grego, persa, árabe, mas fale sempre com amor.	Rumi
Happiness comes towards those which believe in him.	A felicidade vem para aqueles que acreditam nele.	Ali ibn Abi Talib (R.A)
Knowledge is of two kinds: that which is absorbed and that which is heard. And that which is heard does not profit if it is not absorbed.	O conhecimento é de dois tipos: aquele que é absorvido e aquele que é ouvido. E aquilo que se ouve não aproveita se não for absorvido.	Ali ibn Abi Talib (R.A)
When I am silent, I have thunder hidden inside.	Quando estou em silêncio, tenho trovões escondidos dentro de mim.	Rumi
Technological Progress Is Like An Axe In The Hands Of A Pathological Criminal.	O progresso tecnológico é como um machado nas mãos de um criminoso patológico.	Albert Einstein
No One Would Choose A Friendless Existence On Condition Of Having All The Other Things In The World.	Ninguém escolheria uma existência sem amigos com a condição de ter todas as outras coisas do mundo.	Aristotle
Life is a gamble. You can get hurt, but people die in plane crashes, lose their arms and legs in car accidents; people die every day. Same with fighters: some die, some get hurt, some go on. You just don't let yourself believe it will happen to you.	A vida é uma aposta. Você pode se machucar, mas as pessoas morrem em acidentes de avião, perdem braços e pernas em acidentes de carro; pessoas morrem todos os dias. O mesmo acontece com os lutadores: alguns morrem, alguns se machucam, alguns continuam. Você simplesmente não se permite acreditar que isso vai acontecer com você.	Muhammad Ali
